T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17
9230,7724,46150,54627,36920,27690,17707,45397,43891,35414,1141,40902,55380,18460,3423,16441,57343
55768,52164,17388,5991,26983,36578,44371,15586,11982,23379,4727,8822,7793,46173,14181,17644,26466
10718,30044,53590,8608,42872,32154,31099,63253,17216,62198,47596,49323,64308,21436,12062,33283,17243
56204,58704,19568,11659,28727,37886,48295,20818,23318,31227,10432,52932,10409,47045,31296,40501,28070
22091,4550,45092,25731,23001,910,2730,3640,51462,5460,5868,34486,1820,44182,17604,3609,38095
31599,16444,27269,18609,61033,29434,22939,52373,37218,45878,52323,56140,58868,63198,26243,46917,37694
5569,18172,27845,7034,22276,16707,50121,1465,14068,34879,58028,10827,33414,11138,43358,21654,32481
65062,60848,63858,61450,64159,64460,62654,61751,57537,59945,16300,10025,63557,64761,48900,20050,30075
12387,55079,61935,30305,49548,37161,46120,17918,60610,26877,58191,64962,8959,24774,43847,64561,64160
23133,20180,50302,39277,27169,4036,12108,16144,13191,24216,44988,60150,8072,46266,4238,54937,49724
18902,22078,29147,49637,10245,56706,39392,30735,33911,13421,8965,62957,48049,37804,26895,60551,58145
58602,29311,31558,42833,38319,45080,4514,49594,20303,9028,9128,34085,24797,51841,27384,2807,36892
51961,60422,63716,21863,11755,25157,10108,35265,43726,20216,37816,50927,50314,38559,48085,36491,22055
59679,45466,36943,56834,42627,48311,14207,62518,48305,28414,53953,8421,31259,53995,31133,16842,25263
45424,27730,31031,2245,50970,5546,16638,22184,4490,33276,18093,44110,11092,25485,54279,22857,1604
20338,43618,36327,2942,15989,61014,52316,47967,5884,39269,46944,50526,56665,40676,10106,35689,20852
49886,29297,53341,60251,3455,18932,56796,10365,55139,48229,26406,3208,37864,34409,13855,6416,9624
21294,57958,41107,15370,19813,63882,60920,59439,30740,56477,6683,41704,62401,42588,20049,18045,59749
22053,3980,44902,25237,22849,796,2388,3184,50474,4776,65037,19248,1592,44106,64385,38496,57744
24911,46850,59192,62391,34281,9370,28110,37480,59419,56220,7987,54135,18740,49822,23961,42907,31679
5015,9862,25075,65195,20060,15045,45135,60180,65027,24907,33089,50125,30090,10030,33904,34887,19649
32921,36274,33879,35795,958,33400,34837,2874,6227,4311,6357,63358,1437,479,19071,61353,59348
42152,44013,14671,25072,37882,61093,52553,48283,50144,39743,7661,39298,56823,18941,22983,13233,52531
32733,33454,32939,33351,206,32836,33145,618,1339,927,41076,53333,309,103,57865,41303,29273
9064,5234,45320,52469,36256,27192,16213,43405,39575,32426,39446,39699,54384,18128,52975,14035,53734
26552,6102,2034,18361,40845,14293,42879,57172,36722,20395,14018,58546,28586,53104,42054,51729,44912
32379,28144,31169,28749,64153,31774,29959,61733,57498,59918,48737,42105,63548,64758,15485,18847,60952
12123,51119,60615,26873,48492,36369,43744,14750,53746,22125,15159,24461,7375,24246,45477,48922,8020
42032,42213,14071,23512,37402,60733,51473,46843,47024,37583,53464,56541,56103,18701,29666,47719,38897
11613,43469,58065,20243,46452,34839,39154,8630,40486,12945,62755,16040,4315,23226,57539,32080,48120
17635,3073,22812,33166,5177,52905,27989,15531,969,55978,63896,12431,40447,35270,60962,24862,37293
31699,17944,27769,19909,61433,29734,23839,53573,39818,47678,3260,30877,59468,63398,9780,61754,27268
23169,20720,50482,39745,27313,4144,12432,16576,14127,24864,50856,9223,8288,46338,21842,18446,27669
25238,51755,60827,1279,35589,10351,31053,41404,2558,62106,61288,54536,20702,50476,53138,43709,32882
62567,23423,51383,29015,54179,56975,40199,31811,58030,15035,1793,55338,48587,59771,5379,45313,35288
30808,4579,23314,8326,57869,27061,15820,42881,16652,31640,54116,,54122,61616,31622,,
62442,21548,50758,27390,53679,56600,39074,30311,54780,12785,46781,,47837,59521,9617,,
8808,1394,44040,49141,35232,26424,13909,40333,32919,27818,63081,,52848,17616,58517,,
46859,49255,38206,20900,56710,9851,29553,39404,41800,59106,55909,,19702,28355,37001,,
11446,40964,57230,18072,45784,34338,37651,6626,36144,9939,35534,,3313,22892,41239,,
53606,19734,6578,43248,18335,30092,24913,55005,21133,49826,44499,,60184,41849,2771,,
22384,8945,46557,29540,24173,1789,5367,7156,59080,10734,53627,,3578,44768,30155,,
17804,5608,23657,35363,5853,53412,29510,17559,5363,59020,26080,,41461,35608,12877,,
61443,6563,45763,14403,49683,53603,30083,18323,28806,60166,14670,,41843,57523,44010,,
29073,43917,14639,51134,50929,21856,205,22061,36905,410,32763,,43712,58146,32926,,
18534,16558,27307,44853,8773,55602,36080,26319,24343,6797,14344,,45841,37068,43032,,
59197,38236,34533,50568,40699,46865,9869,56734,35773,19738,40750,,28367,53031,56887,,
25955,62510,64412,10600,38457,12502,37506,50008,21200,9649,47433,,25004,51910,11573,,
58033,20776,28713,35436,36043,43373,64756,42766,5509,64149,47107,,21383,50703,10595,,
17180,61611,20537,27251,3357,51540,23894,10071,54502,47788,55094,,37717,34360,34556,,
16982,58641,19547,24677,2565,50946,22112,7695,49354,44224,22820,,36529,33964,3097,,
47497,58825,41396,29194,59262,11765,35295,47060,58388,5227,29177,,23530,29631,22168,,
58371,25846,30403,39830,37395,44387,2435,46822,14297,4870,36838,,23411,51379,45151,,
11305,38849,56525,16239,45220,33915,36382,4934,32478,7401,12551,,2467,22610,37653,,
28790,39672,13224,47455,49797,21007,63021,18665,29547,60679,51997,,42014,57580,25265,,
34089,53794,39719,50979,5630,36904,45349,16890,36595,25335,652,,8445,2815,1956,,
51631,55472,62066,17573,10435,24167,7138,31305,35146,14276,49389,,48334,37899,17441,,
1599,23985,7995,20787,6396,4797,14391,19188,41574,28782,64548,,9594,3198,62918,,
19972,38128,34497,63547,14525,59916,49022,43575,61731,32681,52649,,54469,39944,27221,,
50833,43502,58076,7199,7243,21773,65319,21729,14398,65275,50041,,43546,36303,19397,,
57240,8881,24748,25127,32871,40994,57619,33250,50254,49875,48574,,16625,49117,14996,,
8338,59707,41690,43031,33352,25014,9679,34693,20699,19358,51834,,50028,16676,24776,,
29502,50352,16784,56711,52645,23143,4066,27209,48059,8132,37327,,46286,59004,46618,,
28675,37947,12649,45960,49337,20662,61986,17285,26557,58609,33252,,41324,57350,34393,,
13849,11646,3882,49311,55396,41547,59278,35462,33259,53193,35045,,17731,27698,39772,,
18993,23443,29602,50820,10609,56979,40211,31827,36277,15059,23798,,48595,37986,6031,,
9255,8099,46275,54952,37020,27765,17932,45697,44541,35864,5216,,55530,18510,15648,,
60168,52801,39388,63191,44583,49778,18608,3023,61019,37216,2934,,34193,54973,8802,,
762,11430,3810,9906,3048,2286,6858,9144,19812,13716,58843,,4572,1524,45803,,
3386,50790,16930,44018,13544,10158,30474,40632,22673,60948,29014,,20316,6772,21679,,
7669,49672,38345,34334,30676,23007,3658,26665,3305,7316,8150,,46014,15338,24450,,
42484,48993,16331,29388,39210,62089,55541,52267,58776,45719,61777,,58815,19605,54605,,
25802,60215,63647,8611,37845,12043,36129,48172,17222,6895,22494,,24086,51604,2119,,
31105,9034,24799,12187,59057,27952,18493,46445,24374,36986,37164,,55904,62210,46129,,
49351,21272,50666,53296,1315,17327,51981,3945,41229,38599,4564,,34654,33339,13692,,
57860,18181,27848,33187,35351,42854,63199,40690,1011,61035,18908,,20345,50357,56724,,
52095,62432,64386,23605,12291,25559,11314,36873,47210,22628,59658,,51118,38827,48248,,
17900,7048,24137,36611,6237,53700,30374,18711,7859,60748,41728,,42037,35800,59821,,
12976,63914,64880,37962,51904,38928,51421,24986,10561,37479,23472,,12493,25952,5053,,
61434,6428,45718,14286,49647,53576,30002,18215,28572,60004,13203,,41789,57505,39609,,
27489,20157,6719,30542,44593,17104,51312,3053,61084,37261,36023,,34208,54978,42706,,
1202,18030,6010,15626,4808,3606,10818,14424,31252,21636,65200,,7212,2404,64874,,
15463,35856,11952,4930,61852,46389,8441,54830,9860,16882,36675,,27415,30926,44662,,
41605,35808,11936,17961,35694,59452,47630,41719,35922,29897,49226,,53541,17847,16952,,
1824,27360,9120,23712,7296,5472,16416,21888,47424,32832,35860,,10944,3648,42217,,
59572,43861,36408,55443,42199,47990,13244,61234,45523,26488,36512,,30617,53781,44173,,
26592,6702,2234,18881,41005,14413,43239,57652,37762,21115,20538,,28826,53184,61614,,
39419,3018,1006,54906,26950,52894,27956,15487,44449,55912,19723,,40425,13475,59169,,
9266,8264,46330,55095,37064,27798,18031,45829,44827,36062,7009,,55596,18532,21027,,
62104,16478,49068,22996,52327,55586,36032,26255,45992,6701,57050,,45809,58845,40424,,
14683,24156,8052,60153,58732,44049,1421,45470,54943,2842,40261,,22735,29366,55420,,
35051,2861,44529,63485,9478,39790,54007,28434,61607,42651,26732,,14217,4739,14833,,
24854,45995,58907,61650,34053,9199,27597,36796,57937,55194,64059,,18398,49708,61451,,
60346,55471,40278,142,45295,50312,20210,5159,284,40420,31948,,35261,55329,30481,,
32090,23809,29724,24992,62997,30907,27358,58265,49984,54716,1630,,61814,64180,4890,,
26622,7152,2384,19271,41125,14503,43509,58012,38542,21655,25428,,29006,53244,10921,,
44699,16855,27406,58183,48070,3371,10113,13484,51003,20226,30644,,6742,24035,26569,,
23464,25145,51957,43580,28493,5029,15087,20116,21797,30174,33578,,10058,46928,35371,,
11795,46199,58975,22609,47180,35385,40792,10814,45218,16221,27058,,5407,23590,15811,,
49667,26012,52246,57404,2579,18275,54825,7737,49445,44287,56072,,36550,33971,37490,,
48113,2702,44476,37202,61726,13613,40839,54452,9041,16315,64222,,27226,30863,61940,,
36061,18011,49579,11252,13518,42820,63097,40554,22504,60831,60636,,20277,6759,51182,,
6525,32512,32625,19462,26100,19575,58725,12937,38924,52087,17767,,39150,13050,53301,,
37229,35531,55419,26436,18190,46324,8246,54570,52872,16492,54931,,27285,9095,34067,,
16004,43971,14657,11963,64016,48012,13310,61322,23926,26620,59495,,30661,32008,47759,,
6095,26062,30475,13872,24380,18285,54855,7777,27744,44347,13040,,36570,12190,39120,,
26912,11502,3834,23041,42285,15373,46119,61492,46082,26875,7335,,30746,53824,22005,,
30376,63462,21154,2710,56141,25765,11932,37697,5420,23864,49063,,51530,60752,16463,,
51773,57602,62776,19419,11003,24593,8416,33009,38838,16832,7172,,49186,38183,21516,,
26591,6687,2229,18868,41001,14410,43230,57640,37736,21097,20375,,28820,53182,61125,,
39243,378,126,52618,26246,52366,26372,13375,39873,52744,56398,,39369,13123,38468,,
43653,1165,22176,44585,43886,233,699,932,23807,1398,56235,,466,21943,37979,,
35457,8951,46559,3400,11102,41008,57661,33306,6800,49959,27547,,16653,5551,17278,,
30947,6664,24009,10133,58425,27478,17071,44549,20266,34142,11410,,54956,61894,34230,,
21543,61693,42352,18607,20809,64629,63161,62427,37214,60959,47270,,63895,43086,11084,,
514,7710,2570,6682,2056,1542,4626,6168,13364,9252,18419,,3084,1028,55257,,
25101,49700,60142,64861,35041,9940,29820,39760,64359,59640,38957,,19880,50202,51508,,
38455,53921,61549,42374,23094,50002,19280,3919,19385,38560,58680,,34641,11547,45314,,
35691,12461,47729,6442,12038,41710,59767,36114,12884,54171,326,,18057,6019,978,,
6768,36157,33840,22621,27072,20304,60912,15853,45242,56461,57376,,40608,13536,41402,,
14634,23421,7807,59516,58536,43902,980,44882,53669,1960,32274,,22441,29268,31459,,
26427,4227,1409,16736,40345,13918,41754,55672,33472,18145,59006,,27836,52854,46292,,
10379,24959,51895,4201,41516,31137,28048,59185,8402,56096,57702,,62274,20758,42380,,
61903,13463,48063,20383,51523,54983,34223,23843,40766,3083,24287,,44603,58443,7498,,
44670,16420,27261,57806,47954,3284,9852,13136,50249,19704,25917,,6568,23977,12388,,
18360,13948,26437,42591,8077,55080,34514,24231,19819,3665,51345,,44797,36720,23309,,
28573,36417,12139,44634,48929,20356,61068,16061,23905,56773,16626,,40712,57146,49878,,
61260,3818,44848,12024,48951,53054,28436,16127,24048,56872,50204,,40745,57157,19886,,
62228,18338,49688,24608,52823,55958,37148,27743,49216,8933,11899,,46553,59093,35697,,
36507,24701,51809,17050,15302,44158,1748,45906,34100,3496,2608,,22953,7651,7824,,
19658,33418,32927,59465,13269,58974,46196,39807,53567,27029,1467,,52585,39316,4401,,
60932,64261,43208,7760,47639,52070,25484,12191,15520,50968,62103,,38777,56501,55583,,
4500,2137,22500,58500,18000,13500,40500,54000,51637,15637,14507,,27000,9000,43521,,
7644,49297,38220,34009,30576,22932,3433,26365,2655,6866,4075,,45864,15288,12225,,
38084,48356,59694,37551,21610,48889,15941,64830,9739,31882,63570,,32415,10805,59984,,
35758,13466,48064,7313,12306,41911,60370,36918,14626,55377,11247,,18459,6153,33741,,
18560,16948,27437,45191,8877,55680,36314,26631,25019,7265,18582,,45997,37120,55746,,
63773,41513,57413,44693,59003,60593,51053,46283,24023,36743,2282,,55823,62183,6846,,
46975,50995,38786,22408,57174,10199,30597,40796,44816,61194,9454,,20398,28587,28362,,
31862,20389,28584,22028,62085,30223,25306,55529,44056,50612,29829,,60446,63724,24124,,
51857,58862,63196,20511,11339,24845,9172,34017,41022,18344,20864,,49690,38351,62592,,
41375,32358,10786,14971,34774,58762,45560,38959,29942,25757,11736,,52161,17387,35208,,
26707,8427,2809,20376,41465,14758,44274,59032,40752,23185,39283,,29516,53414,52486,,
59659,45166,36843,56574,42547,48251,14027,62278,47785,28054,50693,,31139,53955,21353,,
41904,40293,13431,21848,36890,60349,50321,45307,43696,35279,32600,,55335,18445,32437,,
54448,32364,10788,54194,21703,32618,32491,65109,43025,64982,51019,,65236,43533,22331,,
39850,9483,3161,60509,28674,54187,31835,20659,55655,63670,24613,,43011,14337,8476,,
19759,34933,33432,60778,13673,59277,47105,41019,56193,28847,17930,,53191,39518,53790,,
13345,4086,1362,42759,53380,40035,54742,29414,20155,44121,18256,,14707,26690,54768,,
61015,143,43623,8839,47971,52319,26231,13187,17678,52462,10269,,39275,56667,30807,,
19108,25168,30177,52315,11069,57324,41246,33207,39267,17129,42543,,49285,38216,62266,,
29495,50247,16749,56620,52617,23122,4003,27125,47877,8006,36186,,46244,58990,43195,,
27443,19467,6489,29944,44409,16966,50898,2501,59888,36433,28525,,33932,54886,20212,,
58469,27316,30893,41104,37787,44681,3317,47998,16845,6634,52812,,23999,51575,27710,,
28553,36117,12039,44374,48849,20296,60888,15821,23385,56413,13366,,40592,57106,40098,,
57740,16381,27248,31627,34871,42494,62119,39250,63254,58875,64711,,19625,50117,63407,,
30975,7084,24149,10497,58537,27562,17323,44885,20994,34646,15974,,55124,61950,47922,,
26471,4887,1629,17308,40521,14050,42150,56200,34616,18937,815,,28100,52942,2445,,
18123,10393,25252,39510,7129,54369,32381,21387,13657,64762,12714,,43375,36246,38142,,
52224,64367,65031,25282,12807,25946,12475,38421,50564,24950,15322,,51892,39085,45966,,
40604,20793,6931,4948,31690,56449,38621,29707,9896,11879,16789,,47535,15845,50367,,
21737,64603,43322,21129,21585,65211,64907,64755,42258,64451,13529,,65059,43474,40587,,
34658,62329,42564,58376,7906,38611,50470,23718,51389,35577,28036,,11859,3953,18745,,
21049,54283,39882,12185,18833,63147,58715,56499,24370,52067,32111,,60931,42098,30970,,
44296,10810,25391,52944,46458,2162,6486,8648,40525,12972,30318,,4324,23229,25591,,
17899,7033,24132,36598,6233,53697,30365,18699,7833,60730,41565,,42031,35798,59332,,
12800,61274,64000,35674,51200,38400,49837,22874,5985,34311,60147,,11437,25600,49715,,
30458,64692,21564,3776,56469,26011,12670,38681,7552,25340,62429,,52022,60916,56561,,
842,12630,4210,10946,3368,2526,7578,10104,21892,15156,6520,,5052,1684,19560,,
17466,538,21967,30969,4501,52398,26468,13503,61938,52936,36349,,39433,34932,43684,,
1955,29325,9775,25415,7820,5865,17595,23460,50830,35190,57213,,11730,3910,40913,,
17265,62886,20962,28356,3697,51795,24659,11091,56712,49318,3586,,38227,34530,10758,,
31942,21589,28984,23068,62405,30463,26026,56489,46136,52052,42869,,60926,63884,63244,,
574,8610,2870,7462,2296,1722,5166,6888,14924,10332,28199,,3444,1148,19234,,
35661,12011,47579,6052,11918,41620,59497,35754,12104,53631,60799,,17877,5959,51671,,
1488,22320,7440,19344,5952,4464,13392,17856,38688,26784,46455,,8928,2976,8639,,
436,6540,2180,5668,1744,1308,3924,5232,11336,7848,5705,,2616,872,17115,,
11373,39869,56865,17123,45492,34119,36994,5750,34246,8625,23635,,2875,22746,5542,,
40758,23103,7701,6950,32306,56911,40007,31555,13900,14651,41891,,48459,16153,60310,,
48841,13622,48116,46666,64638,15797,47391,63188,27969,29419,52160,,31594,32319,25754,,
33463,44404,36589,42841,3126,35026,39715,9378,20319,14067,29340,,4689,1563,22657,,
6818,36907,34090,23271,27272,20454,61362,16453,46542,57361,,,40908,13636,,,
23434,24695,51807,43190,28373,4939,14817,19756,21017,29634,,,9878,46868,,,
6515,32362,32575,19332,26060,19545,58635,12817,38664,51907,,,39090,13030,,,
35469,9131,46619,3556,11150,41044,57769,33450,7112,50175,,,16725,5575,,,
33059,38344,34569,37589,1510,33814,36079,4530,9815,6795,,,2265,755,,,
1077,16155,5385,14001,4308,3231,9693,12924,28002,19386,,,6462,2154,,,
58826,32671,32678,45745,39215,45752,6530,52282,26127,13060,,,26141,52289,,,
26022,63515,64747,11471,38725,12703,38109,50812,22942,10855,,,25406,52044,,,
4462,1567,22310,58006,17848,13386,40158,53544,50649,14953,,,26772,8924,,,
956,14340,4780,12428,3824,2868,8604,11472,24856,17208,,,5736,1912,,,
37530,40046,56924,30349,19394,47227,10955,58182,60698,21910,,,29091,9697,,,
3617,54255,18085,47021,14468,10851,32553,43404,28679,65106,,,21702,7234,,,
48325,5882,45536,39958,62574,14249,42747,56996,14553,20131,,,28498,31287,,,
8010,54787,40050,38767,32040,24030,6727,30757,12171,13454,,,48060,16020,,,
37137,34151,54959,25240,17822,46048,7418,53466,50480,14836,,,26733,8911,,,
65175,62543,64423,62919,64611,64799,63671,63107,60475,61979,,,64235,64987,,,
32275,26584,30649,27397,63737,31462,29023,60485,54794,58046,,,62924,64550,,,
59182,38011,34458,50373,40639,46820,9734,56554,35383,19468,,,28277,53001,,,
23315,22910,51212,41643,27897,4582,13746,18328,17923,27492,,,9164,46630,,,
50934,45017,58581,8512,7647,22076,865,22941,17024,1730,,,44152,36505,,,
9653,14069,48265,60126,38612,28959,21514,50473,54889,43028,,,57918,19306,,,
64853,57713,62813,58733,63323,63833,60773,59243,52103,56183,,,62303,64343,,,
40966,26223,8741,9654,33138,57535,41879,34051,19308,18395,,,49707,16569,,,
20086,39838,35067,65029,14981,60258,50048,44943,64695,34733,,,55153,40172,,,
5534,17647,27670,6579,22136,16602,49806,1045,13158,34249,,,33204,11068,,,
58902,33811,33058,46733,39519,45980,7214,53194,28103,14428,,,26597,52441,,,
39398,2703,901,54633,26866,52831,27767,15235,43903,55534,,,40299,13433,,,
5570,18187,27850,7047,22280,16710,50130,1477,14094,34897,,,33420,11140,,,
65238,63488,64738,63738,64863,64988,64238,63863,62113,63113,,,64613,65113,,,
43363,62178,20726,40815,42726,64726,63452,62815,16267,61541,,,64089,21363,,,
49780,27707,52811,58873,3031,18614,55842,9093,52383,46321,,,37228,34197,,,
2638,39570,13190,34294,10552,7914,23742,31656,3225,47484,,,15828,5276,,,
6747,35842,33735,22348,26988,20241,60723,15601,44696,56083,,,40482,13494,,,
10938,33344,54690,11468,43752,32814,33079,530,22936,795,,,265,21876,,,
29561,51237,17079,57478,52881,23320,4597,27917,49593,9194,,,46640,59122,,,
39059,62981,64569,50226,25510,51814,24716,11167,35089,49432,,,38265,12755,,,
11269,38309,56345,15771,45076,33807,36058,4502,31542,6753,,,2251,22538,,,
22454,9995,46907,30450,24453,1999,5997,7996,60900,11994,,,3998,44908,,,
30124,59682,19894,64797,55133,25009,9664,34673,64231,19328,,,50018,60248,,,
7421,45952,37105,31110,29684,22263,1426,23689,62220,2852,,,44526,14842,,,
64199,47903,59543,50231,60707,61871,54887,51395,35099,44411,,,58379,63035,,,
56588,64464,21488,16651,30263,39038,51751,25426,33302,38139,,,12713,47813,,,
24312,37865,56197,54604,31885,7573,22719,30292,43845,45438,,,15146,48624,,,
30317,62577,20859,1943,55905,25588,11401,36989,3886,22802,,,51176,60634,,,
41389,32568,10856,15153,34830,58804,45686,39127,30306,26009,,,52245,17415,,,
29171,45387,15129,52408,51321,22150,1087,23237,39453,2174,,,44300,58342,,,
35782,13826,48184,7625,12402,41983,60586,37206,15250,55809,,,18603,6201,,,
22784,14945,48557,34740,25773,2989,8967,11956,4117,17934,,,5978,45568,,,
22841,15800,48842,35481,26001,3160,9480,12640,5599,18960,,,6320,45682,,,
32873,35554,33639,35171,766,33256,34405,2298,4979,3447,,,1149,383,,,
33704,48019,37794,45974,4090,35749,41884,12270,26585,18405,,,6135,2045,,,
49234,19517,50081,51775,847,16976,50928,2541,38187,36493,,,33952,33105,,,
37268,36116,55614,26943,18346,46441,8597,55038,53886,17194,,,27519,9173,,,
22868,16205,48977,35832,26109,3241,9723,12964,6301,19446,,,6482,45736,,,
37625,41471,57399,31584,19774,47512,11810,59322,63168,23620,,,29661,9887,,,
20337,43603,36322,2929,15985,61011,52307,47955,5858,39251,,,56659,40674,,,
49710,26657,52461,57963,2751,18404,55212,8253,50563,45061,,,36808,34057,,,
55681,50859,16953,4860,26635,36317,43588,14542,9720,21813,,,7271,45999,,,
60769,61816,42393,5641,46987,51581,24017,10235,11282,48034,,,37799,56175,,,
41175,29358,9786,12371,33974,58162,43760,36559,24742,22157,,,50961,16987,,,
56870,3331,22898,20317,31391,39884,54289,28810,40634,43215,,,14405,48377,,,
8581,63352,42905,46190,34324,25743,11866,37609,27017,23732,,,51486,17162,,,
6907,38242,34535,24428,27628,20721,62163,17521,48856,58963,,,41442,13814,,,
39098,63566,64764,50733,25666,51931,25067,11635,36103,50134,,,38499,12833,,,
18133,10543,25302,39640,7169,54399,32471,21507,13917,64942,,,43435,36266,,,
53984,25404,8468,48162,19847,31226,28315,59541,30961,56630,,,62452,42605,,,
23549,26420,52382,44685,28833,5284,15852,21136,24007,31704,,,10568,47098,,,
26755,9147,3049,21000,41657,14902,44706,59608,42000,24049,,,29804,53510,,,
2744,41160,13720,35672,10976,8232,24696,32928,5981,49392,,,16464,5488,,,
25403,54230,61652,3424,36249,10846,32538,43384,6848,65076,,,21692,50806,,,
26244,1482,494,14357,39613,13369,40107,53476,28714,14851,,,26738,52488,,,
43534,64743,21581,43038,43410,65239,64991,64867,20713,64619,,,65115,21705,,,
14513,21606,7202,57943,58052,43539,65254,43430,50523,65145,,,21715,29026,,,
5131,11602,25655,1340,20524,15393,46179,61572,2680,26995,,,30786,10262,,,
53337,15699,5233,39751,17259,29285,22492,51777,14139,44984,,,58570,41311,,,
40403,17778,5926,2335,30886,55846,36812,27295,4670,8261,,,46329,15443,,,
51724,56867,62531,18782,10807,24446,7975,32421,37564,15950,,,48892,38085,,,
17967,8053,24472,37482,6505,53901,30977,19515,9601,61954,,,42439,35934,,,
24768,44705,58477,60532,33709,8941,26823,35764,55701,53646,,,17882,49536,,,
45210,24520,29961,64826,50114,4904,14712,19616,64289,29424,,,9808,25057,,,
48037,1562,44096,36214,61422,13385,40155,53540,7065,14947,,,26770,30711,,,
22685,13460,48062,33453,25377,2692,8076,10768,1543,16152,,,5384,45370,,,
5417,15892,27085,5058,21668,16251,48753,65004,10116,32143,,,32502,10834,,,
38310,51746,60824,40489,22514,49567,17975,2179,15615,35950,,,33771,11257,,,
10171,21839,50855,1497,40684,30513,26176,56689,2994,52352,,,61026,20342,,,
25295,52610,61112,2020,35817,10522,31566,42088,4040,63132,,,21044,50590,,,
7236,43177,36180,28705,28944,21708,65124,21469,57410,64885,,,43416,14472,,,
31639,17044,27469,19129,61193,29554,23299,52853,38258,46598,,,59108,63278,,,
12609,58409,63045,33191,50436,37827,48118,20582,1019,30873,,,10291,25218,,,
62205,17993,49573,24309,52731,55889,36941,27467,48618,8519,,,46415,59047,,,
32459,29344,31569,29789,64473,32014,30679,62693,59578,61358,,,64028,64918,,,
26203,867,289,13824,39449,13246,39738,52984,27648,14113,,,26492,52406,,,
36318,21866,50864,14593,14546,43591,47,43638,29186,94,,,21819,7273,,,
51757,57362,62696,19211,10939,24545,8272,32817,38422,16544,,,49090,38151,,,
23775,29810,53512,47623,29737,5962,17886,23848,29883,35772,,,11924,47550,,,
1168,17520,5840,15184,4672,3504,10512,14016,30368,21024,,,7008,2336,,,
9479,11459,47395,57864,37916,28437,19948,48385,50365,39896,,,56874,18958,,,
34229,55894,40419,52799,6190,37324,46609,18570,40235,27855,,,9285,3095,,,
10908,32894,54540,11078,43632,32724,32809,170,22156,255,,,85,21816,,,
24281,37400,56042,54201,31761,7480,22440,29920,43039,44880,,,14960,48562,,,
24861,46100,58942,61741,34081,9220,27660,36880,58119,55320,,,18440,49722,,,
61578,8588,46438,16158,50223,54008,31298,19943,32316,62596,,,42653,57793,,,
52833,8139,2713,33199,15243,27773,17956,45729,1035,35912,,,55546,40303,,,
17062,59841,19947,25717,2885,51186,22832,8655,51434,45664,,,37009,34124,,,
61577,8573,46433,16145,50219,54005,31289,19931,32290,62578,,,42647,57791,,,
52657,5499,1833,30911,14539,27245,16372,43617,61822,32744,,,54490,39951,,,
51449,52742,61156,15207,9707,23621,5500,29121,30414,11000,,,47242,37535,,,
34930,1046,43924,61912,8994,39427,52918,26982,58461,40473,,,13491,4497,,,
3558,53370,17790,46254,14232,10674,32022,42696,27145,64044,,,21348,7116,,,
37941,46211,58979,35692,21038,48460,14654,63114,6021,29308,,,31557,10519,,,
10590,28124,52950,6944,42360,31770,29947,61717,13888,59894,,,63540,21180,,,
33676,47599,37654,45610,3978,35665,41632,11934,25857,17901,,,5967,1989,,,
44306,10960,25441,53074,46498,2192,6576,8768,40785,13152,,,4384,23249,,,
